Student_ID,Name,Gender,Age,Maths,Science,English
101,Stavan,Male,20.0,85.0,90.0,88.0
102,Rahul,Male,21.0,78.0,82.0,75.0
103,Priya,Female,,92.0,,95.0
104,Amit,Male,22.0,,70.0,68.0
105,Neha,Female,21.0,88.0,91.0,
106,Karan,Male,20.0,73.0,69.0,80.0
107,Riya,Female,19.0,96.0,94.0,98.0
108,Arjun,Male,21.0,58.0,62.0,60.0
109,Sneha,Female,20.0,81.0,79.0,84.0
110,Vivek,Male,22.0,69.0,74.0,72.0
105,Neha,Female,21.0,88.0,91.0,
112,Rohit,Male,21.0,77.0,81.0,79.0
113,Kavya,Female,20.0,84.0,88.0,87.0
114,Manav,Male,,55.0,61.0,59.0
115,Pooja,Female,21.0,89.0,92.0,90.0
